Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Sukabumi,March-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.83
Kota Sukabumi,March-2020,2020,Kesehatan,103.34
Kota Sukabumi,March-2020,2020,Transportasi,103.34
Kota Sukabumi,March-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.91
Kota Sukabumi,March-2020,2020,"Rekreasi, Olahraga & Budaya",102.7
Kota Sukabumi,March-2020,2020,Pendidikan,109.01
Kota Sukabumi,March-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.41
Kota Sukabumi,March-2020,2020,Perawatan Pribadi & Jasa Lainnya,109.41
Kota Sukabumi,February-2020,2020,Umum,104.44
Kota Sukabumi,February-2020,2020,"Makanan, Minuman & Tembakau",103.72
Kota Sukabumi,February-2020,2020,Pakaian & Alas Kaki,109.48
Kota Sukabumi,February-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.69
Kota Sukabumi,February-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.86
Kota Sukabumi,February-2020,2020,Kesehatan,103.31
Kota Sukabumi,February-2020,2020,Transportasi,103.33
Kota Sukabumi,February-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.91
Kota Sukabumi,February-2020,2020,"Rekreasi, Olahraga & Budaya",102.7
Kota Sukabumi,February-2020,2020,Pendidikan,109.01
Kota Sukabumi,February-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.41
Kota Sukabumi,February-2020,2020,Perawatan Pribadi & Jasa Lainnya,109.09
Kota Sukabumi,January-2020,2020,Umum,104.17
Kota Sukabumi,January-2020,2020,"Makanan, Minuman & Tembakau",103.21
Kota Sukabumi,January-2020,2020,Pakaian & Alas Kaki,108.33
Kota Sukabumi,January-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.47
Kota Sukabumi,January-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.61
Kota Sukabumi,January-2020,2020,Kesehatan,103.31
Kota Sukabumi,January-2020,2020,Transportasi,103.5
Kota Sukabumi,January-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.85
Kota Sukabumi,January-2020,2020,"Rekreasi, Olahraga & Budaya",102.7
Kota Sukabumi,January-2020,2020,Pendidikan,109.01
Kota Sukabumi,January-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.41
Kota Sukabumi,January-2020,2020,Perawatan Pribadi & Jasa Lainnya,109.06
Kota Bandung,December-2020,2020,Umum,105.69
Kota Bandung,December-2020,2020,"Makanan, Minuman & Tembakau",108.45
Kota Bandung,December-2020,2020,Pakaian & Alas Kaki,107.15
Kota Bandung,December-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.86
Kota Bandung,December-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",107.97
Kota Bandung,December-2020,2020,Kesehatan,111.55
Kota Bandung,December-2020,2020,Transportasi,100.25
Kota Bandung,December-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.59
Kota Bandung,December-2020,2020,"Rekreasi, Olahraga & Budaya",104.01
Kota Bandung,December-2020,2020,Pendidikan,105.25
Kota Bandung,December-2020,2020,Penyediaan Makanan & Minuman - Restoran,105.24
Kota Bandung,December-2020,2020,Perawatan Pribadi & Jasa Lainnya,113.4
Kota Bandung,November-2020,2020,Umum,105.28
Kota Bandung,November-2020,2020,"Makanan, Minuman & Tembakau",106.9
Kota Bandung,November-2020,2020,Pakaian & Alas Kaki,107.04
Kota Bandung,November-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.85
Kota Bandung,November-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",108.07
Kota Bandung,November-2020,2020,Kesehatan,111.43
Kota Bandung,November-2020,2020,Transportasi,100.14
Kota Bandung,November-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.6
Kota Bandung,November-2020,2020,"Rekreasi, Olahraga & Budaya",103.83
Kota Bandung,November-2020,2020,Pendidikan,105.25
Kota Bandung,November-2020,2020,Penyediaan Makanan & Minuman - Restoran,105.24
Kota Bandung,November-2020,2020,Perawatan Pribadi & Jasa Lainnya,113.85
Kota Bandung,October-2020,2020,Umum,105.01
Kota Bandung,October-2020,2020,"Makanan, Minuman & Tembakau",105.83
Kota Bandung,October-2020,2020,Pakaian & Alas Kaki,107.04
Kota Bandung,October-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",103.91
Kota Bandung,October-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",107.98
Kota Bandung,October-2020,2020,Kesehatan,111.42
Kota Bandung,October-2020,2020,Transportasi,100.11
Kota Bandung,October-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.58
Kota Bandung,October-2020,2020,"Rekreasi, Olahraga & Budaya",103.77
Kota Bandung,October-2020,2020,Pendidikan,105.25
