Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Sukabumi,April-2017,2017,Sandang,106.43
Kota Sukabumi,April-2017,2017,Kesehatan,119.89
Kota Sukabumi,April-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",112.92
Kota Sukabumi,April-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.72
Kota Sukabumi,March-2017,2017,Umum,126.87
Kota Sukabumi,March-2017,2017,Bahan Makanan,132.86
Kota Sukabumi,March-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",135.89
Kota Sukabumi,March-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.09
Kota Sukabumi,March-2017,2017,Sandang,106.28
Kota Sukabumi,March-2017,2017,Kesehatan,119.78
Kota Sukabumi,March-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",112.82
Kota Sukabumi,March-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.64
Kota Sukabumi,February-2017,2017,Umum,126.58
Kota Sukabumi,February-2017,2017,Bahan Makanan,132.7
Kota Sukabumi,February-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",135.72
Kota Sukabumi,February-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",119.49
Kota Sukabumi,February-2017,2017,Sandang,106.2
Kota Sukabumi,February-2017,2017,Kesehatan,119.12
Kota Sukabumi,February-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",112.51
Kota Sukabumi,February-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.57
Kota Sukabumi,January-2017,2017,Umum,126.1
Kota Sukabumi,January-2017,2017,Bahan Makanan,132.76
Kota Sukabumi,January-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",134.76
Kota Sukabumi,January-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",118.59
Kota Sukabumi,January-2017,2017,Sandang,106.19
Kota Sukabumi,January-2017,2017,Kesehatan,118.95
Kota Sukabumi,January-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",112.64
Kota Sukabumi,January-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",131.03
Kota Bandung,December-2017,2017,Umum,129.61
Kota Bandung,December-2017,2017,Bahan Makanan,142.29
Kota Bandung,December-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",137.56
Kota Bandung,December-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",120.46
Kota Bandung,December-2017,2017,Sandang,107.94
Kota Bandung,December-2017,2017,Kesehatan,124.62
Kota Bandung,December-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",123.52
Kota Bandung,December-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",137.34
Kota Bandung,November-2017,2017,Umum,128.67
Kota Bandung,November-2017,2017,Bahan Makanan,140.07
